آگاهوند آگاهاند
افشوند افشاند
پاشوند پاشاند
پروند پراند
پزوند پزاند
پکوند پکاند
پلاسوند پلاساند
پوسوند پوساند
پوشوند پوشاند
پیچوند پیچاند
تابوند تاباند
تازوند تازاند
تاروند تاراند
تپوند تپاند
ترسوند ترساند
تراشوند تراشاند
ترکوند ترکاند
تکوند تکاند
جنبوند جنباند
جوشوند جوشاند
چپوند چپاند
چرخوند چرخاند
چروند چراند
چزوند چزاند
چسبوند چسباند
چشوند چشاند
چکوند چکاند
چلوند چلاند
چلونید چلانید
خاروند خاراند
خراشوند خراشاند
خشکوند خشکاند
خندوند خنداند
خوابوند خواباند
خوروند خوراند
خوند خواند
خیسوند خیساند
دووند دواند
رسوند رساند
رقصوند رقصاند
رنجوند رنجاند
روند راند
زاوند زااند
سابوند ساباند
سوزوند سوزاند
شوروند شوراند
شکوند شکاند
شناسوند شناساند
شوروند شوراند
غلتوند غلتاند
قبولوند قبولاند
فشوند فشاند
فهموند فهماند
کشوند کشاند
کوبوند کوباند
گدازوند گدازاند
گذروند گذراند
گردوند گرداند
گریزوند گریزاند
گریوند گریاند
گستروند گستراند
گنجوند گنجاند
گندوند گنداند
لرزوند لرزاند
لغزوند لغزاند
لمبوند لمباند
مالوند مالاند
نالوند نالاند
نشوند نشاند
نوشوند نوشاند
نمایوند نمایاند
ورزوند ورزاند

درخشوند درخشاند
شوتید شوتاند
اومد آمد
تونست توانست
درموند درماند
دویید دویید
موند ماند
دونست دانست
ذاشت لبآ
شست نشست
شوند نشوند
نداخت انداخت
فتاد افتاد
وفتاد افتاد
ورد اورد
ومد آمد

سا ایست
ستا ایست	
س ایست
ست ایست
سون ایستان
ستون ایستان
ساد ایستاد
ستاد ایستاد
سوند ایستاند
ستوند ایستاند

ار آور
افشون افشان
پاشون پاشان
پرون پران
پزون پزان
پوسون پوسان
پوشون پوشان
پکون پکان
پلاسون پلاسان
پیچون پیچان
تابون تابان
تازون تازان
تارون تاران
تراشون تراشان
ترسون ترسان
ترکون ترکان
تکون تکان
تپون تپان
تون توان
جنبون جنبان
جوشون جوشان
چپون چپان
چرخون چرخان
چرون چران
