ف.و	فعل وجهی
ف.ح.س	فعل مضارع (حال) ساده
ف.م.س	فعل ماضی ساده
ف.م.ن	فعل ماضی نقلی
ف.م.ا	فعل ماضی استمراری
ف.م.ن.م	فعل ماضی نقلی مستمر
ف.ح.ا	فعل مضارع (حال) اخباری
التزامی	مضارع التزامی
ف.م.ب	فعل ماضی بعید*
ف.م.ال	فعل ماضی التزامی*
ف.م.ا.ب	فعل ماضی ابعد*
ف.آ	فعل مستقبل (آینده)*
اسمعام	اسم عام
اسمجا	اسم خاص مکان
اسمشخ	اسم خاص شخص
اسمفامیل	اسم خاص نام فامیلی
صمفعولی	صفت مفعولی
شماره	صفت شمارشی
حضاف	حرف اضافه
حضافگ	حرف اضافه گروهی
شخصی	ضمیر شخصی
مشترک	ضمیر مشترک
مبهم	صفت یا ضمیر مبهم
اشاره	صفت یا ضمیر اشاره
پرسش	صفت یا ضمیر پرسشی
جملک	شبه جمله
حربط	حرف ربط
حربطگ	حرف ربط گروهی
جا	تک‌واژ جمع غیر رسمی ا
جها	تک‌واژ جمع ها
جان	تک‌واژ جمع جانداران
جات	تک‌واژ جمع عربی ات
ججات	تک‌واژ جمع عربی جات
جین	تک‌واژ جمع عربی ین
جون	تک‌واژ جمع عربی ون
هم	تک‌واژ هم
را	تک‌واژ را (رو، و)
عطف	تکواژ و واژه و
نم	تک‌واژ نکره یا موصولی
موصولی	تک‌واژ موصولی
نکره	تک‌واژ نکره
وشخصی	واژه‌بست شخصی
وربطی	واژه‌بست ربطی
ربطویژه	واژه‌بست ربطی ویژه
معرفه	تک‌واژ معرفه
تاکید	تک‌واژ تاکید ها و ا
اضافه	تک‌واژ کسره اضافه
ش	شناسه ماضی و مضارع
ومفعولی	واژه‌بست مفعولی فعل متعدی
ت	حرف واسط ت
وفاعلی	واژه‌بست فاعلی
عمفعولی	علامت مفعولی
